"Ciudad","DescripciónCiudad","Atracción","Categoría","DescripciónAtracción","Calificación","Opiniones","Coordenadas","Enlace"
"Quito","Capital de Ecuador, posee el centro histórico mejor conservado de América y una rica mezcla cultural colonial e indígena:contentReference[oaicite:0]{index=0}. Su altitud andina y panoramas volcánicos, junto a su oferta moderna, la han hecho destino líder en Sudamérica:contentReference[oaicite:1]{index=1}","Iglesia de La Compañía de Jesús","Iglesia","Iglesia barroca del siglo XVII, famosa por su interior cubierto de pan de oro y considerada una joya del arte colonial quiteño:contentReference[oaicite:2]{index=2}","5.0/5","~5.000 opiniones","+0.22 S, 78.51 W","https://www.tripadvisor.com/Attraction_Review-g294308-d315505-Reviews-Iglesia_de_La_Compania_de_Jesus-Quito_Pichincha_Province.html"
"Quito","","Iglesia y Convento de San Francisco","Iglesia/Museo","Complejo religioso más grande de América, fundado en 1537, cuna de la Escuela Quiteña de arte; destaca su imponente atrio y museo con arte colonial:contentReference[oaicite:3]{index=3}","4.5/5","~1.200 opiniones","0.22 S, 78.52 W","https://www.tripadvisor.com/Attraction_Review-g294308-d316187-Reviews-San_Francisco_Church_Quito-Quito_Pichincha_Province.html"
"Quito","","Basílica del Voto Nacional","Iglesia","Catedral neogótica monumental del siglo XIX, famosa por sus gárgolas con fauna ecuatoriana. Sus altas torres ofrecen vistas panorámicas de la ciudad:contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}","4.5/5","~1.400 opiniones","0.21 S, 78.51 W","https://www.tripadvisor.com/Attraction_Review-g294308-d316186-Reviews-Basilica_del_Voto_Nacional-Quito_Pichincha_Province.html"
"Quito","","El Panecillo (Virgen de Quito)","Mirador/Monumento","Colina icónica a 3.000 msnm con una estatua alada de la Virgen de Quito (1976). Es uno de los miradores más visitados, ofreciendo vista de 360° de la ciudad:contentReference[oaicite:6]{index=6}","4.5/5","~1.300 opiniones","0.22 S, 78.52 W","https://www.tripadvisor.com/Attraction_Review-g294308-d314596-Reviews-El_Panecillo-Quito_Pichincha_Province.html"
"Quito","","TelefériQo (Teleférico de Quito)","Atracción/Paisaje","Teleférico que asciende al Cruz Loma (~4.000 msnm) en las faldas del Pichincha. Ofrece recorridos de 10 min con vistas espectaculares de Quito y volcanes circundantes:contentReference[oaicite:7]{index=7}:contentReference[oaicite:8]{index=8}","4.5/5","~2.000 opiniones","0.19 S, 78.55 W","https://www.tripadvisor.com/Attraction_Review-g294308-d946226-Reviews-Teleferico_Quito-Quito_Pichincha_Province.html"
"Quito","","Ciudad Mitad del Mundo","Monumento/Museo","Complejo turístico en la latitud 0° donde se alza un monumento que marca la línea ecuatorial. Incluye museo etnográfico y exhibiciones sobre la misión geodésica francesa:contentReference[oaicite:9]{index=9}","4.5/5","~4.000 opiniones","0.00 N, 78.45 W","https://www.tripadvisor.com/Attraction_Review-g294308-d315498-Reviews-Mitad_del_Mundo-Quito_Pichincha_Province.html"
"Quito","","Museo Templo del Sol (Ortega Maila)","Museo de arte","Museo de arte y cultura andina construido por el artista Ortega Maila, con arquitectura ancestral. Incluye exhibición de pintura, aromaterapia y ritual de energía andina:contentReference[oaicite:10]{index=10}","4.9/5","7.984 opiniones:contentReference[oaicite:11]{index=11}","0.00 S, 78.46 W","https://www.tripadvisor.com/Attraction_Review-g294308-d6965734-Reviews-Museo_Templo_del_Sol_Pintor_Ortega_Maila-Quito_Pichincha_Province.html"
"Quito","","Capilla del Hombre (Museo Guayasamín)","Museo/Arte","Museo creado por el pintor Oswaldo Guayasamín dedicado al pueblo latinoamericano. Exhibe murales y obras de gran formato en un edificio moderno con vista a la ciudad:contentReference[oaicite:12]{index=12}","4.7/5","~1.100 opiniones","0.17 S, 78.44 W","https://www.tripadvisor.com/Attraction_Review-g294308-d316381-Reviews-La_Capilla_Del_Hombre-Quito_Pichincha_Province.html"
"Quito","","Plaza de la Independencia (Plaza Grande)","Plaza histórica","Plaza central rodeada de edificios emblemáticos: Palacio de Carondelet (sede presidencial), Catedral Metropolitana, Palacio Arzobispal. Escenario de eventos históricos desde la colonia:contentReference[oaicite:13]{index=13}","4.5/5","~500 opiniones","0.22 S, 78.51 W","https://www.tripadvisor.com/Attraction_Review-g294308-d314599-Reviews-Plaza_de_la_Independencia_Plaza_Grande-Quito_Pichincha_Province.html"
"Quito","","Calle La Ronda","Calle tradicional","Calle colonial estrecha y adoquinada, llena de casas históricas, restaurantes, arte y música en vivo. Es el epicentro bohemio de Quito, ideal para disfrutar gastronomía y cultura local:contentReference[oaicite:14]{index=14}","4.5/5","~400 opiniones","0.22 S, 78.51 W","https://www.tripadvisor.com/Attraction_Review-g294308-d1587408-Reviews-La_Ronda-Quito_Pichincha_Province.html"
"Guayaquil","Principal puerto y segunda ciudad de Ecuador, llamada la “Perla del Pacífico”. Ofrece una mezcla de modernidad, historia y naturaleza que la convierte en destino imperdible:contentReference[oaicite:15]{index=15}","Malecón 2000","Paseo ribereño","Extenso malecón junto al río Guayas con parques, monumentos (La Rotonda) y áreas recreativas. Es el corazón turístico de Guayaquil, con vistas al río y museos cercanos:contentReference[oaicite:16]{index=16}","4.5/5","~5.000 opiniones","2.19 S, 79.88 W","https://www.tripadvisor.com/Attraction_Review-g303845-d316244-Reviews-Malecon_2000-Guayaquil_Guayas_Province.html"
"Guayaquil","","Barrio Las Peñas & Cerro Santa Ana","Barrio histórico","Antiguo barrio colonial de casas coloridas en la ladera del Cerro Santa Ana. Cuenta con 444 escalones con bares y galerías que llevan al faro mirador en la cima, con panorámica de la ciudad:contentReference[oaicite:17]{index=17}","4.5/5","~1.300 opiniones","2.19 S, 79.88 W","https://www.tripadvisor.com/Attraction_Review-g303845-d317538-Reviews-Las_Penas-Guayaquil_Guayas_Province.html"
"Guayaquil","","Parque Seminario (Parque de las Iguanas)","Parque urbano","Pequeño parque frente a la catedral, habitado por decenas de iguanas verdes que deambulan libremente. Atractivo peculiar donde visitantes pueden observarlas de cerca en un entorno urbano:contentReference[oaicite:18]{index=18}","4.0/5","~1.000 opiniones","2.19 S, 79.88 W","https://www.tripadvisor.com/Attraction_Review-g303845-d314711-Reviews-Parque_de_Las_Iguanas-Guayaquil_Guayas_Province.html"
"Guayaquil","","Parque Histórico Guayaquil","Parque/Museo","Reserva a las afueras de la ciudad que recrea la Guayaquil de antaño. Combina un zoo con fauna local, exhibiciones culturales y casas históricas de madera trasladadas desde el centro:contentReference[oaicite:19]{index=19}","4.5/5","~600 opiniones","2.17 S, 79.87 W","https://www.tripadvisor.com/Attraction_Review-g303845-d317533-Reviews-Parque_Historico_Guayaquil-Guayaquil_Guayas_Province.html"
"Guayaquil","","Isla Santay","Reserva natural","Isla ecológica en el río Guayas, accesible por puente peatonal. Cuenta con senderos, centro eco-turístico y poblado local. Permite observar manglares, aves y escaparse de la ciudad en plena naturaleza","4.5/5","~300 opiniones","2.19 S, 79.86 W","https://www.tripadvisor.com/Attraction_Review-g303845-d6701345-Reviews-Santay_Island-Guayaquil_Guayas_Province.html"
"Guayaquil","","Catedral Metropolitana de Guayaquil","Iglesia","Catedral neo-gótica ubicada junto al Parque Seminario. Destaca por sus altas torres gemelas y vitrales. Es el principal templo católico de la ciudad, reconstruido en cemento en 1948 tras incendios","4.5/5","~200 opiniones","2.19 S, 79.88 W","https://www.tripadvisor.com/Attraction_Review-g303845-d317539-Reviews-Catedral_Metropolitana_de_Guayaquil-Guayaquil_Guayas_Province.html"
"Guayaquil","","La Perla","Atracción (Noria)","Rueda moscovita gigante (60 m) situada en el Malecón Simón Bolívar a orillas del río. Inaugurada en 2016, ofrece rides de 12 min con vistas panorámicas de la ciudad y el río","4.0/5","~300 opiniones","2.18 S, 79.88 W","https://www.tripadvisor.com/Attraction_Review-g303845-d12204146-Reviews-La_Perla-Guayaquil_Guayas_Province.html"
"Guayaquil","","Museo Antropológico y de Arte Contemporáneo (MAAC)","Museo","Museo a lo largo del Malecón 2000 que exhibe arte precolombino, colonial y contemporáneo ecuatoriano. Incluye piezas arqueológicas de las culturas Valdivia, Manteña, etc., y salas de arte moderno","4.0/5","~150 opiniones","2.19 S, 79.88 W","https://www.tripadvisor.com/Attraction_Review-g303845-d317537-Reviews-Museo_Antropologico_y_de_Arte_Contemporaneo-Guayaquil_Guayas_Province.html"
"Cuenca","Ciudad colonial en la sierra sur, conocida por su centro histórico Patrimonio de la Humanidad (UNESCO 1999) y su ambiente tranquilo. Sus calles adoquinadas, iglesias de cúpulas azules y casas con balcones de madera reflejan su rica herencia española:contentReference[oaicite:20]{index=20}:contentReference[oaicite:21]{index=21}","Catedral de la Inmaculada Concepción","Catedral","También llamada Catedral Nueva (terminada en 1975), es la icónica catedral de domos azules de Cuenca. Combina estilos neogótico y renacentista; su fachada de piedra y majestuosas cúpulas de azulejos azules la hacen símbolo de la ciudad:contentReference[oaicite:22]{index=22}:contentReference[oaicite:23]{index=23}","4.5/5","~1.500 opiniones","2.90 S, 79.00 W","https://www.tripadvisor.com/Attraction_Review-g294309-d315503-Reviews-Catedral_de_la_Inmaculada_Concepcion-Cuenca_Azuay_Province.html"
"Cuenca","","Parque Nacional El Cajas","Reserva natural","Parque andino a 30 km de Cuenca, con más de 200 lagunas glaciares entre páramos y bosques de polylepis. Ideal para senderismo, pesca de truchas y avistamiento de llamas y venados en paisajes sobre 3.000 msnm","4.8/5","~800 opiniones","2.83 S, 79.22 W","https://www.tripadvisor.com/Attraction_Review-g294309-d555420-Reviews-El_Cajas_National_Park-Cuenca_Azuay_Province.html"
"Cuenca","","Complejo Pumapungo (Museo y Parque)","Museo/Arqueología","Sitio que alberga el Museo Pumapungo y las ruinas arqueológicas de Tomebamba (poblado Inca). El museo expone arte, etnografía y una colección de momias Shuar; afuera se recorren restos de terrazas incas y jardines etnobotánicos","4.5/5","~300 opiniones","2.90 S, 78.99 W","https://www.tripadvisor.com/Attraction_Review-g294309-d1011484-Reviews-Pumapungo_Museum_and_Arqueological_Park_Casa_del_Alfarero-Cuenca_Azuay_Province.html"
"Cuenca","","Mirador de Turi","Mirador","Colina al sur de Cuenca con una pequeña iglesia, conocida por ofrecer la vista panorámica más famosa de la ciudad. Se puede acceder en vehículo o escalando cientos de gradas; alrededor hay cafés y tiendas de artesanías","4.5/5","~600 opiniones","2.92 S, 78.98 W","https://www.tripadvisor.com/Attraction_Review-g294309-d670862-Reviews-Mirador_de_Turi-Cuenca_Azuay_Province.html"
"Cuenca","","Parque Calderón","Plaza central","Plaza principal de Cuenca rodeada de edificios históricos como la Catedral Nueva y la Catedral Vieja. Con jardines, fuentes y el kiosko central, es un punto de encuentro local y escenario de eventos cívicos","4.5/5","~300 opiniones","2.90 S, 78.99 W","https://www.tripadvisor.com/Attraction_Review-g294309-d553318-Reviews-Elizabeth_Ordonez-Cuenca_Azuay_Province.html"
"Cuenca","","Catedral del Sagrario (Catedral Vieja)","Monumento/Museo","Antigua catedral de Cuenca (1557), de estilo renacentista, hoy convertida en museo de arte religioso. Su fachada de piedra y el interior restaurado exhiben pinturas, retablos y reliquias históricas de la diócesis","4.5/5","~200 opiniones","2.90 S, 78.99 W","https://www.tripadvisor.com/Attraction_Review-g294309-d774437-Reviews-Catedral_de_la_Inmaculada-Concepcion-OLD-Cuenca_Azuay_Province.html"
"Cuenca","","Iglesia del Carmen de la Asunción","Iglesia","Iglesia y convento del siglo XVII ubicados junto a la plazoleta de las Flores. Reconocidos por su fachada barroca de piedra y por albergar un mercado de flores tradicional en su atrio, aportando colorido y aroma al centro histórico","4.5/5","~100 opiniones","2.90 S, 78.99 W","https://www.tripadvisor.com/Attraction_Review-g294309-d7183193-Reviews-Plaza_de_las_Flores-Cuenca_Azuay_Province.html"
"Cuenca","","Ingapirca (ruinas incas)","Sitio arqueológico","Complejo arqueológico Inca más importante de Ecuador, con ruinas de un templo del Sol y construcciones de piedra perfectamente ensambladas. Se ubica a 80 km de Cuenca; muestra la presencia Inca y Cañari en la región:contentReference[oaicite:24]{index=24}","4.5/5","~400 opiniones","2.54 S, 78.87 W","https://www.tripadvisor.com/Attraction_Review-g303847-d314709-Reviews-Ingapirca_Ruins-Canar_Canar_Province.html"
"Cuenca","","Museo del Sombrero de Paja Toquilla","Museo/Industria","Taller-museo donde se exhibe el proceso tradicional de tejido del sombrero de paja toquilla (mal llamado “Panama hat”). Los visitantes pueden ver artesanos trabajando, apreciar sombreros históricos y comprar sombreros finos","4.5/5","~300 opiniones","2.90 S, 78.99 W","https://www.tripadvisor.com/Attraction_Review-g294309-d2634093-Reviews-Homero_Ortega_Pajarito_Sombrero_Cuenca_Azuay_Province.html"
"Baños de Agua Santa","Pequeña ciudad andina en las faldas del volcán Tungurahua, célebre por sus aguas termales, cascadas y deportes de aventura. Es uno de los destinos de naturaleza y aventura más importantes de Ecuador:contentReference[oaicite:25]{index=25}","Cascada Pailón del Diablo","Cascada","Impresionante cascada de ~30 m en el río Verde, accesible por senderos y puentes bajo la selva. El agua cae con gran fuerza en una olla, formando neblina; es el salto más famoso de la Ruta de las Cascadas en Baños","4.8/5","~2.300 opiniones","1.39 S, 78.42 W","https://www.tripadvisor.com/Attraction_Review-g316050-d316758-Reviews-Pailon_del_Diablo_Devil_s_Cauldron-Banos_Tungurahua_Province.html"
"Baños de Agua Santa","","Casa del Árbol (Columpio “Fin del Mundo”)","Mirador/Aventura","Pequeña casa con columpio sobre un abismo, a 2.600 msnm, que ofrece vistas espectaculares del valle de Baños y del volcán Tungurahua. Famoso por la adrenalina de columpiarse “sobre el vacío” y tomar fotos únicas","4.5/5","~1.300 opiniones","1.39 S, 78.44 W","https://www.tripadvisor.com/Attraction_Review-g316050-d7316314-Reviews-La_Casa_del_Arbol-Banos_Tungurahua_Province.html"
"Baños de Agua Santa","","Termas de la Virgen","Termas/Balneario","Piscinas termales públicas alimentadas por aguas volcánicas ricas en minerales, ubicadas al pie de una cascada en pleno pueblo. Locales y turistas acuden para relajarse en sus aguas cálidas con propiedades terapéuticas","4.0/5","~400 opiniones","1.40 S, 78.42 W","https://www.tripadvisor.com/Attraction_Review-g316050-d315315-Reviews-Termas_de_la_Virgen-Banos_Tungurahua_Province.html"
"Baños de Agua Santa","","Cascada Manto de la Novia","Cascada","Caída de agua de ~40 m que forma un velo blanco sobre el río Pastaza, visible desde un puente colgante. Se puede cruzar en tarabita (cablecarril) sobre el cañón para admirar de cerca esta cascada escénica rodeada de selva","4.5/5","~150 opiniones","1.42 S, 78.36 W","https://www.tripadvisor.com/Attraction_Review-g316050-d8412340-Reviews-Manto_de_la_Novia_Waterfall-Banos_Tungurahua_Province.html"
"Baños de Agua Santa","","Basílica de Nuestra Señora de Agua Santa","Iglesia","Templo neogótico construido en honor a la Virgen de Agua Santa, patrona de Baños. Su interior exhibe murales que narran milagros atribuidos a la Virgen, y es centro de peregrinación; de noche su fachada se ilumina bellamente","4.5/5","~200 opiniones","1.40 S, 78.42 W","https://www.tripadvisor.com/Attraction_Review-g316050-d315314-Reviews-Church_of_the_Virgin_of_the_Holy_Water_Basilica_de_Nuestra_Senora_del_Agua_Santa-Ban.html"
"Baños de Agua Santa","","Mirador “La Virgen”","Mirador","Estatua de la Virgen María ubicada en lo alto de un cerro al este de Baños, accesible tras subir ~600 escalones. Desde la cima se obtiene una vista panorámica de la ciudad y del valle; el sendero está acompañado de estaciones del Vía Crucis","4.5/5","~80 opiniones","1.40 S, 78.41 W","https://www.tripadvisor.com/Attraction_Review-g316050-d14938854-Reviews-Mirador_De_La_Virgen-Banos_Tungurahua_Province.html"
"Otavalo","Ciudad andina imbabureña conocida como “Capital Intercultural del Ecuador” por su riqueza indígena. Es uno de los puntos turísticos más visitados del país, famoso por su mercado artesanal indígena considerado el más grande de Sudamérica:contentReference[oaicite:26]{index=26}:contentReference[oaicite:27]{index=27}","Mercado de Otavalo (Plaza de los Ponchos)","Mercado artesanal","Mercado indígena centenario al aire libre, especialmente concurrido los sábados. Ofrece una enorme variedad de textiles, artesanías, tapices, ponchos, joyería y recuerdos producidos por la comunidad otavaleña:contentReference[oaicite:28]{index=28}","4.2/5","1.184 opiniones【10†0】","0.23 N, 78.26 W","https://www.tripadvisor.com/Attraction_Review-g303848-d314638-Reviews-Otavalo_Market-Otavalo_Imbabura_Province.html"
"Otavalo","","Cascada de Peguche","Cascada","Cascada de ~20 m de altura dentro del Bosque Protector Peguche, a 3 km de Otavalo. Es un sitio sagrado para los indígenas (escenario de baños rituales en Inti Raymi) y ofrece senderos naturales y áreas de picnic:contentReference[oaicite:29]{index=29}","4.2/5","751 opiniones:contentReference[oaicite:30]{index=30}","0.24 N, 78.24 W","https://www.tripadvisor.com/Attraction_Review-g303848-d2650785-Reviews-Cascada_de_Peguche-Otavalo_Imbabura_Province.html"
"Otavalo","","Parque Cóndor","Centro de rescate","Centro de aves de presa andinas situado en una colina con vista a Otavalo. Alberga cóndores, águilas y halcones rescatados, con exhibiciones de vuelo. Promueve la educación y conservación de estas especies emblemáticas de los Andes","4.3/5","533 opiniones:contentReference[oaicite:31]{index=31}","0.23 N, 78.25 W","https://www.tripadvisor.com/Attraction_Review-g303848-d1630473-Reviews-Parque_Condor-Otavalo_Imbabura_Province.html"
"Otavalo","","Lagunas de Mojanda","Lagunas","Conjunto de lagunas de origen volcánico a 17 km de Otavalo (3.700 msnm). La principal, Karicocha, está rodeada de montañas y pajonales andinos. Sitio ideal para caminatas, camping y disfrutar paisajes andinos vírgenes","4.5/5","~50 opiniones","0.11 N, 78.29 W","https://www.tripadvisor.com/Attraction_Review-g303848-d8540967-Reviews-Mojanda_Lakes-Otavalo_Imbabura_Province.html"
"Otavalo","","Volcán Imbabura (sendero)","Volcán","Volcán inactivo de 4.630 m que domina Otavalo. Los aventureros ascienden por senderos empinados (6–8 h ida/vuelta) pasando por páramo y roca para alcanzar su cumbre, desde donde hay vistas espectaculares de los Andes y lagos circundantes","N/A","N/A","0.32 N, 78.18 W",""
"Mindo","Pequeña localidad en el bosque nublado de los Andes occidentales, famosa por su biodiversidad. Rodeada de cascadas y bosques, posee una de las avifaunas más ricas del país, siendo destino imperdible para amantes de la naturaleza y la aventura:contentReference[oaicite:32]{index=32}","Mariposario de Mindo","Mariposario","Reserva de mariposas donde se pueden observar decenas de especies tropicales en vivo. Incluye un jardín con plantas atrayentes y guías que muestran el ciclo de vida de mariposas exóticas; ideal para fotografía y educación","4.5/5","~700 opiniones","0.07 N, 78.77 W","https://www.tripadvisor.com/Attraction_Review-g609138-d316960-Reviews-Mariposas_de_Mindo-Mindo_Pichincha_Province.html"
"Mindo","","Santuario de Cascadas (Tarabita)","Naturaleza/Aventura","Conjunto de senderos que conducen a varias cascadas en la Reserva Mindo-Nambillo. Para acceder, se cruza en tarabita (cable aéreo) sobre el valle. Las caminatas permiten bañarse en pozas y disfrutar la selva nublada","4.5/5","~450 opiniones","0.06 S, 78.75 W","https://www.tripadvisor.com/Attraction_Review-g609138-d4544007-Reviews-Mindo_Nambillo_Cloud_Forest_Reserve-Mindo_Pichincha_Province.html"
"Mindo","","Canopy y Ziplines","Deporte/Aventura","Circuito de tirolesas entre las copas de los árboles en Mindo. Distintas empresas ofrecen varias líneas que cruzan a alta velocidad el bosque nublado, brindando emoción y vistas únicas de la vegetación y montañas","5.0/5","~300 opiniones","0.05 S, 78.78 W","https://www.tripadvisor.com/Attraction_Review-g609138-d1550412-Reviews-Mindo_Canopy_Adventure-Mindo_Pichincha_Province.html"
"Mindo","","Reserva Paz de las Aves","Reserva de aves","Reserva privada famosa por avistamiento de aves raras como gallo de la peña, varias especies de antpittas y cientos de colibríes. Guiada por agricultores locales que atraen las aves con alimentación, permitiendo a turistas verlas de cerca","5.0/5","~140 opiniones","0.00 S, 78.79 W","https://www.tripadvisor.com/Attraction_Review-g609138-d1162709-Reviews-Paz_de_las_Aves_Bird_Refuge-Mindo_Pichincha_Province.html"
"Mindo","","Tour del Chocolate (Yumbos)","Tour gastronómico","Pequeña fábrica de chocolate artesanal donde se muestra el proceso desde el cacao hasta la barra de chocolate. Los visitantes recorren el jardín de cacao, observan la fermentación, tueste y molienda, y degustan chocolates y cacao puro","4.5/5","~250 opiniones","0.07 S, 78.78 W","https://www.tripadvisor.com/Attraction_Review-g609138-d2486690-Reviews-El_Quetzal_de_Mindo-Mindo_Pichincha_Province.html"
